municipio;curso;grau;turno;modalidade;nivel;habilitacao;convenio;forma_ingresso;ano;periodo;quantidade;
BACABAL;CIÊNCIAS HUMANAS - SOCIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2018;2;30;
BACABAL;CIÊNCIAS HUMANAS - SOCIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PÚBLICA;2018;2;1;
BACABAL;CIÊNCIAS HUMANAS - SOCIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO;2018;2;13;
BACABAL;CIÊNCIAS HUMANAS - SOCIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - RF;2018;2;12;
BACABAL;CIÊNCIAS HUMANAS - SOCIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - RF;2018;2;3;
BACABAL;CIÊNCIAS NATURAIS - BIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2018;2;15;
BACABAL;CIÊNCIAS NATURAIS - BIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PÚBLICA;2018;2;1;
BACABAL;CIÊNCIAS NATURAIS - BIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - INDIO - RF;2018;2;1;
BACABAL;CIÊNCIAS NATURAIS - BIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO;2018;2;8;
BACABAL;CIÊNCIAS NATURAIS - BIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - RF;2018;2;4;
BACABAL;CIÊNCIAS NATURAIS - BIOLOGIA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - RF;2018;2;1;
BACABAL;CIÊNCIAS NATURAIS - FÍSICA;LICENCIATURA PLENA;Noturno;Presencial;G;;;REMANESCENTE;2018;2;4;
BACABAL;CIÊNCIAS NATURAIS - FÍSICA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2018;2;13;
BACABAL;CIÊNCIAS NATURAIS - FÍSICA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PÚBLICA;2018;2;1;
BACABAL;CIÊNCIAS NATURAIS - FÍSICA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO;2018;2;5;
BACABAL;CIÊNCIAS NATURAIS - FÍSICA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - DEFICIENTE - RF;2018;2;1;
BACABAL;CIÊNCIAS NATURAIS - FÍSICA;LICENCIATURA PLENA;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - RF;2018;2;1;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS AGRÁRIAS;ProCampo;VESTIBULAR - AMPLA CONCORRÊNCIA;2018;2;13;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS AGRÁRIAS;ProCampo;VESTIBULAR - ESCOLA PÚBLICA;2018;2;6;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS AGRÁRIAS;ProCampo;VESTIBULAR - ÍNDIO;2018;2;1;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS AGRÁRIAS;ProCampo;VESTIBULAR - NEGRO;2018;2;7;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS DA NATUREZA E MATEMATICA;ProCampo;VESTIBULAR - AMPLA CONCORRÊNCIA;2018;2;23;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS DA NATUREZA E MATEMATICA;ProCampo;VESTIBULAR - ESCOLA PÚBLICA;2018;2;1;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS DA NATUREZA E MATEMATICA;ProCampo;VESTIBULAR - ÍNDIO;2018;2;2;
BACABAL;EDUCAÇÃO DO CAMPO;LICENCIATURA PLENA;Matutino, Vespertino e Noturno;Presencial;G;CIÊNCIAS DA NATUREZA E MATEMATICA;ProCampo;VESTIBULAR - NEGRO;2018;2;6;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Matutino;Presencial;G;;;MATRICULA GRADUADO;2018;2;2;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Matutino;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2018;2;19;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Matutino;Presencial;G;;;SISU - ESCOLA PÚBLICA;2018;2;2;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Matutino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO;2018;2;10;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Matutino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - RF;2018;2;4;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Matutino;Presencial;G;;;SISU - ESCOLA PUBLICA - RF;2018;2;3;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Noturno;Presencial;G;;;MATRICULA GRADUADO;2018;2;1;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Noturno;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2018;2;22;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Noturno;Presencial;G;;;SISU - ESCOLA PÚBLICA;2018;2;2;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO;2018;2;8;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - RF;2018;2;5;
BALSAS;CIÊNCIA E TECNOLOGIA;BACHARELADO;Noturno;Presencial;G;;;SISU - ESCOLA PUBLICA - RF;2018;2;3;
BALSAS;ENGENHARIA AMBIENTAL;BACHARELADO;Vespertino e Noturno;Presencial;G;;;REINGRESSO SEGUNDO CICLO;2018;2;5;
BALSAS;ENGENHARIA CIVIL;BACHARELADO;Matutino;Presencial;G;;;REINGRESSO SEGUNDO CICLO;2018;2;13;
BURITI BRAVO;PEDAGOGIA;LICENCIATURA;Matutino e Vespertino;Presencial;G;;PARFOR;PLATAFORMA PAULO FREIRE;2018;2;57;
BURITI BRAVO;PEDAGOGIA;LICENCIATURA;Matutino e Vespertino;Presencial;G;;PARFOR;PORTADOR DE DIPLOMA;2018;2;2;
CHAPADINHA;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;REMANESCENTE;2018;2;3;
CHAPADINHA;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2018;2;16;
CHAPADINHA;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - ESCOLA PÚBLICA;2018;2;2;
CHAPADINHA;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO;2018;2;4;
CHAPADINHA;AGRONOMIA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - RF;2018;2;8;
CHAPADINHA;CIÊNCIAS BIOLÓGICAS;LICENCIATURA PLENA;Vespertino;Presencial;G;;;REMANESCENTE;2018;2;3;
CHAPADINHA;CIÊNCIAS BIOLÓGICAS;LICENCIATURA PLENA;Vespertino;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2018;2;16;
CHAPADINHA;CIÊNCIAS BIOLÓGICAS;LICENCIATURA PLENA;Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO;2018;2;10;
CHAPADINHA;CIÊNCIAS BIOLÓGICAS;LICENCIATURA PLENA;Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - RF;2018;2;6;
CHAPADINHA;CIÊNCIAS BIOLÓGICAS;LICENCIATURA PLENA;Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - RF;2018;2;1;
CHAPADINHA;ENGENHARIA AGRÍCOLA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;REMANESCENTE;2018;2;1;
CHAPADINHA;ENGENHARIA AGRÍCOLA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - AMPLA CONCORRÊNCIA;2018;2;16;
CHAPADINHA;ENGENHARIA AGRÍCOLA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - ESCOLA PÚBLICA;2018;2;1;
CHAPADINHA;ENGENHARIA AGRÍCOLA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO;2018;2;6;
CHAPADINHA;ENGENHARIA AGRÍCOLA;BACHARELADO;Matutino e Vespertino;Presencial;G;;;SISU - ESCOLA PUBLICA - NEGRO - RF;2018;2;4;
